id, timestamp, demand, coal, nuclear, ccgt, wind, hydro, biomass, oil, solar
1296636, 2023-10-02 00:00:40,21917,0,4232,9154,4255,668,1966,0,0
1296637, 2023-10-02 00:06:24,21893,0,4233,9228,4198,667,1947,0,0
1296638, 2023-10-02 00:11:12,21908,0,4234,9295,4173,667,1934,0,0
1296639, 2023-10-02 00:15:39,21908,0,4235,9294,4179,668,1927,0,0
1296640, 2023-10-02 00:20:39,21805,0,4235,9204,4165,668,1929,0,0
1296641, 2023-10-02 00:25:39,21731,0,4236,9168,4144,667,1912,0,0
1296642, 2023-10-02 00:30:39,21630,0,4235,9139,4075,667,1910,0,0
1296643, 2023-10-02 00:35:38,21598,0,4232,9155,4012,668,1927,0,0
1296644, 2023-10-02 00:40:39,21611,0,4234,9169,3976,668,1930,0,0
1296645, 2023-10-02 00:45:39,21620,0,4224,9205,3934,667,1930,0,0
1296646, 2023-10-02 00:50:39,21632,0,4221,9231,3911,668,1935,0,0
1296647, 2023-10-02 00:55:39,21602,0,4224,9279,3856,667,1928,0,0
1296648, 2023-10-02 01:00:46,21614,0,4223,9327,3830,666,1923,0,0
1296649, 2023-10-02 01:05:42,21591,0,4226,9289,3850,662,1930,0,0
1296650, 2023-10-02 01:10:39,21498,0,4229,9127,3873,652,1947,0,0
1296651, 2023-10-02 01:15:39,21372,0,4227,9093,3843,639,1947,0,0
1296652, 2023-10-02 01:20:40,21239,0,4227,9023,3800,627,1957,0,0
1296653, 2023-10-02 01:25:40,21174,0,4224,8955,3793,626,1969,0,0
1296654, 2023-10-02 01:30:39,21115,0,4227,8921,3772,625,1963,0,0
1296655, 2023-10-02 01:35:39,21033,0,4229,8878,3731,627,1962,0,0
1296656, 2023-10-02 01:40:42,20926,0,4224,8757,3701,628,1977,0,0
1296657, 2023-10-02 01:45:39,20926,0,4219,8747,3724,628,1973,0,0
1296658, 2023-10-02 01:50:40,20853,0,4223,8708,3702,627,1963,0,0
1296659, 2023-10-02 01:55:39,20861,0,4224,8754,3694,627,1947,0,0
1296660, 2023-10-02 02:01:00,20704,0,4226,8627,3671,627,1934,0,0
1296661, 2023-10-02 02:06:21,20589,0,4225,8524,3696,605,1891,0,0
1296662, 2023-10-02 02:10:53,20785,0,4228,8594,3669,599,1904,0,0
1296663, 2023-10-02 02:15:41,20801,0,4225,8572,3633,600,1909,0,0
1296664, 2023-10-02 02:20:40,20809,0,4223,8564,3672,599,1907,0,0
1296665, 2023-10-02 02:25:39,20799,0,4223,8588,3666,599,1884,0,0
1296666, 2023-10-02 02:30:50,20750,0,4220,8629,3631,600,1822,0,0
1296667, 2023-10-02 02:35:39,20773,0,4220,8725,3595,600,1803,0,0
1296668, 2023-10-02 02:40:40,20900,0,4225,8833,3574,600,1830,0,0
1296669, 2023-10-02 02:45:40,20984,0,4226,8904,3580,599,1841,0,0
1296670, 2023-10-02 02:50:39,21022,0,4231,8919,3571,594,1868,0,0
1296671, 2023-10-02 02:55:38,20955,0,4229,8899,3507,626,1861,0,0
1296672, 2023-10-02 03:00:49,20828,0,4223,8894,3421,631,1861,0,0
1296673, 2023-10-02 03:05:50,20959,0,4226,9125,3452,629,1892,0,0
1296674, 2023-10-02 03:10:42,21309,0,4229,9598,3337,617,1962,0,0
1296675, 2023-10-02 03:15:46,21519,0,4228,9835,3283,628,1980,0,0
1296676, 2023-10-02 03:20:41,21590,0,4226,9913,3275,641,1980,0,0
1296677, 2023-10-02 03:25:39,21471,0,4224,9825,3212,643,1980,0,0
1296678, 2023-10-02 03:30:40,21471,0,4226,9804,3224,643,1981,0,0
1296679, 2023-10-02 03:35:40,21441,0,4227,9805,3221,642,1969,0,0
1296680, 2023-10-02 03:40:42,21482,0,4229,9866,3210,643,1966,0,0
1296681, 2023-10-02 03:45:54,21563,0,4227,9984,3169,642,1983,0,0
1296682, 2023-10-02 03:50:39,21691,0,4225,10103,3179,641,1982,0,0
1296683, 2023-10-02 03:55:39,21684,0,4229,10078,3162,638,1973,0,0
1296684, 2023-10-02 04:00:46,21581,0,4226,10046,3165,629,1971,0,0
1296685, 2023-10-02 04:06:47,21581,0,4226,10046,3165,629,1971,0,0
1296686, 2023-10-02 04:10:42,21832,0,4227,10342,3120,630,1963,0,0
1296687, 2023-10-02 04:15:39,21995,0,4227,10435,3145,630,1963,0,0
1296688, 2023-10-02 04:20:44,22043,0,4226,10473,3204,628,1963,0,0
1296689, 2023-10-02 04:25:40,22144,0,4226,10539,3232,629,1969,0,0
1296690, 2023-10-02 04:30:42,22182,0,4227,10534,3248,630,1977,0,0
1296691, 2023-10-02 04:35:40,22302,0,4227,10704,3228,629,1966,0,0
1296692, 2023-10-02 04:40:45,22508,0,4226,10879,3226,630,1977,0,0
1296693, 2023-10-02 04:45:40,22793,0,4224,11074,3243,630,1978,0,0
1296694, 2023-10-02 04:50:41,23060,0,4225,11344,3206,629,1980,0,0
1296695, 2023-10-02 04:55:39,23343,0,4225,11697,3257,629,1977,0,0
1296696, 2023-10-02 05:00:59,23754,0,4227,12076,3280,627,1981,0,0
1296697, 2023-10-02 05:06:36,23754,0,4227,12076,3280,627,1981,0,0
1296698, 2023-10-02 05:10:45,23942,65,4228,11955,3315,822,1980,0,0
1296699, 2023-10-02 05:15:50,24253,116,4229,12121,3300,830,1983,0,0
1296700, 2023-10-02 05:21:16,24650,164,4229,12398,3353,830,1981,0,0
1296701, 2023-10-02 05:25:47,24978,195,4233,12710,3371,830,1977,0,0
1296702, 2023-10-02 05:30:53,25279,226,4229,12911,3378,829,1973,0,0
1296703, 2023-10-02 05:35:41,25513,258,4230,13028,3403,831,1979,0,0
1296704, 2023-10-02 05:40:48,25936,286,4228,12974,3414,821,1971,0,0
1296705, 2023-10-02 05:45:55,26260,318,4229,13211,3462,816,1979,0,0
1296706, 2023-10-02 05:50:49,26432,347,4231,13396,3452,825,1983,0,0
1296707, 2023-10-02 05:55:44,26681,351,4225,13603,3465,826,1982,0,0
1296708, 2023-10-02 06:00:43,27007,372,4227,13707,3507,829,1985,0,0
1296709, 2023-10-02 06:05:40,27091,367,4228,13746,3493,835,1976,0,0
1296710, 2023-10-02 06:10:44,27439,383,4229,13814,3502,835,1972,0,0
1296711, 2023-10-02 06:15:43,27966,418,4230,14038,3485,835,1971,0,0
1296712, 2023-10-02 06:20:43,28265,428,4230,14400,3447,835,1976,0,0
1296713, 2023-10-02 06:25:45,28526,429,4231,14705,3401,834,1970,0,0
1296714, 2023-10-02 06:30:49,28678,429,4232,14776,3382,836,1963,0,0
1296715, 2023-10-02 06:35:46,28857,431,4230,14860,3347,837,1993,0,1.13204
1296716, 2023-10-02 06:41:12,28930,445,4221,14836,3355,834,1990,0,1.22732
1296717, 2023-10-02 06:45:41,28993,458,4223,14850,3369,836,2006,0,1.22848
1296718, 2023-10-02 06:50:45,29184,459,4219,14902,3403,836,2000,0,1.22848
1296719, 2023-10-02 06:55:39,29405,459,4219,15025,3422,835,2003,0,1.22848
1296720, 2023-10-02 07:00:41,29472,458,4219,15122,3343,836,2000,0,1.22112
1296721, 2023-10-02 07:05:55,29482,462,4218,15069,3292,836,1997,0,104.995003
1296722, 2023-10-02 07:11:03,29897,460,4218,14867,3229,832,1998,0,110.763
1296723, 2023-10-02 07:15:56,30269,457,4217,14827,3239,824,2003,0,113.922997
1296724, 2023-10-02 07:21:21,30454,459,4217,15064,3292,823,2001,0,122.499001
1296725, 2023-10-02 07:25:55,30623,459,4214,15260,3316,824,2006,0,123.591003
1296726, 2023-10-02 07:30:47,30729,459,4211,15415,3354,825,2007,0,124.248001
1296727, 2023-10-02 07:35:39,30771,491,4218,15505,3397,827,1997,0,412.412994
1296728, 2023-10-02 07:41:51,30729,550,4223,15597,3427,829,1980,0,422.546997
1296729, 2023-10-02 07:46:17,30791,579,4223,15648,3505,828,1971,0,427.927002
1296730, 2023-10-02 07:51:53,30791,579,4223,15648,3505,828,1971,0,437.73999
1296731, 2023-10-02 07:56:37,30870,659,4221,15630,3379,824,2031,0,440.187012
1296732, 2023-10-02 08:01:37,30960,696,4225,15545,3409,833,2086,0,441.026001
1296733, 2023-10-02 08:06:17,31096,713,4223,15321,3400,826,2087,0,755.679016
1296734, 2023-10-02 08:12:00,31096,713,4223,15321,3400,826,2087,0,772.135986
1296735, 2023-10-02 08:15:54,31602,709,4219,15052,3505,789,2091,0,778.163025
1296736, 2023-10-02 08:21:02,31622,713,4223,15053,3449,788,2089,0,789.763
1296737, 2023-10-02 08:26:13,31622,710,4222,15105,3415,788,2092,0,793.018005
1296738, 2023-10-02 08:30:42,31542,707,4228,15132,3369,781,2099,0,796.054016
1296739, 2023-10-02 08:36:06,31507,707,4228,15137,3348,776,2103,0,1083.189941
1296740, 2023-10-02 08:40:48,31454,706,4229,15086,3438,720,2102,0,1092.030029
1296741, 2023-10-02 08:46:21,31386,706,4226,15111,3439,643,2106,0,1102.27002
1296742, 2023-10-02 08:51:25,31369,705,4223,15095,3449,642,2100,0,1113.150024
1296743, 2023-10-02 08:55:43,31364,704,4222,15080,3454,644,2103,0,1117.23999
1296744, 2023-10-02 09:00:59,31284,705,4219,14938,3442,645,2105,0,1122.089966
1296745, 2023-10-02 09:05:46,31284,705,4219,14938,3442,645,2105,0,1442.560059
1296746, 2023-10-02 09:10:42,31284,705,4219,14938,3442,645,2105,0,1456.72998
1296747, 2023-10-02 09:15:59,31255,705,4231,14749,3605,661,2091,0,1468.369995
1296748, 2023-10-02 09:20:51,31255,705,4231,14749,3605,661,2091,0,1490.140015
1296749, 2023-10-02 09:25:39,31220,702,4228,14664,3666,661,2087,0,1486.530029
1296750, 2023-10-02 09:30:43,31195,703,4227,14565,3746,661,2081,0,1494.709961
1296751, 2023-10-02 09:35:39,31212,704,4228,14524,3809,660,2076,0,1792.920044
1296752, 2023-10-02 09:40:42,31228,705,4228,14547,3786,660,2090,0,1814.23999
1296753, 2023-10-02 09:45:42,31327,703,4226,14702,3732,660,2092,0,1838.339966
1296754, 2023-10-02 09:50:40,31343,705,4224,14692,3769,660,2084,0,1857.75
1296755, 2023-10-02 09:55:40,31261,706,4221,14537,3819,661,2101,0,1858.589966
1296756, 2023-10-02 10:00:51,31261,703,4222,14516,3852,660,2095,0,1876.699951
1296757, 2023-10-02 10:06:53,31261,703,4222,14516,3852,660,2095,0,2005.069946
1296758, 2023-10-02 10:10:57,31067,696,4226,14330,3872,660,2096,0,2079.649902
1296759, 2023-10-02 10:15:42,31012,653,4226,14315,3875,660,2097,0,2083.47998
1296760, 2023-10-02 10:21:39,31012,653,4226,14315,3875,660,2097,0,2114.409912
1296761, 2023-10-02 10:26:26,30963,555,4227,14286,3972,659,2077,0,2113.72998
1296762, 2023-10-02 10:31:41,30963,555,4227,14286,3972,659,2077,0,2125.76001
1296763, 2023-10-02 10:35:45,30906,468,4233,14438,3821,660,2099,0,2211.02002
1296764, 2023-10-02 10:40:57,30925,461,4232,14478,3808,659,2101,0,2258.610107
1296765, 2023-10-02 10:46:27,31037,458,4232,14520,3881,660,2097,0,2278.5
1296766, 2023-10-02 10:51:45,31037,458,4232,14520,3881,660,2097,0,2290.219971
1296767, 2023-10-02 10:56:36,31000,459,4232,14507,3847,660,2108,0,2310.459961
1296768, 2023-10-02 11:01:32,31000,459,4232,14507,3847,660,2108,0,2312.149902
1296769, 2023-10-02 11:06:35,31000,459,4232,14507,3847,660,2108,0,2368.300049
1296770, 2023-10-02 11:11:05,30889,459,4231,14950,3949,644,2105,0,2429.139893
1296771, 2023-10-02 11:16:22,30913,458,4234,15026,4017,643,2108,0,2455.47998
1296772, 2023-10-02 11:20:50,30896,464,4228,15026,3987,644,2108,0,2471.330078
1296773, 2023-10-02 11:25:41,30895,459,4229,15007,3984,645,2105,0,2486.129883
1296774, 2023-10-02 11:31:59,30895,459,4229,15007,3984,645,2105,0,2486.629883
1296775, 2023-10-02 11:36:54,30895,459,4229,15007,3984,645,2105,0,2349.75
1296776, 2023-10-02 11:40:45,31161,517,4221,15293,3973,645,2110,0,2423.679932
1296777, 2023-10-02 11:46:41,31161,517,4221,15293,3973,645,2110,0,2450.939941
1296778, 2023-10-02 11:50:59,31377,554,4232,15365,4097,643,2095,0,2476.850098
1296779, 2023-10-02 11:56:17,31453,585,4240,15396,4102,643,2095,0,2477.290039
1296780, 2023-10-02 12:01:33,31453,585,4240,15396,4102,643,2095,0,2481.379883
1296781, 2023-10-02 12:06:51,31453,585,4240,15396,4102,643,2095,0,2309.459961
1296782, 2023-10-02 12:11:41,31006,676,4236,14998,3989,645,2108,0,2361.030029
1296783, 2023-10-02 12:16:14,31063,676,4230,14931,3983,646,2107,0,2372.23999
1296784, 2023-10-02 12:21:39,31063,676,4230,14931,3983,646,2107,0,2381.060059
1296785, 2023-10-02 12:26:57,31063,676,4230,14931,3983,646,2107,0,2386.51001
1296786, 2023-10-02 12:31:44,30924,677,4230,15056,3942,655,2096,0,2397.52002
1296787, 2023-10-02 12:35:55,31012,680,4225,15086,3897,655,2100,0,2107.51001
1296788, 2023-10-02 12:41:14,31254,680,4230,15149,3874,640,2104,0,2120.030029
1296789, 2023-10-02 12:45:47,31163,677,4233,15137,3833,639,2103,0,2118.719971
1296790, 2023-10-02 12:50:44,31031,678,4238,15168,3720,638,2102,0,2117.030029
1296791, 2023-10-02 12:56:33,31031,678,4238,15168,3720,638,2102,0,2142
1296792, 2023-10-02 13:01:32,30972,682,4240,15230,3760,639,2115,0,2151.969971
1296793, 2023-10-02 13:06:19,30967,681,4240,15282,3772,639,2125,0,1858.969971
1296794, 2023-10-02 13:11:44,30967,681,4240,15282,3772,639,2125,0,1859.650024
1296795, 2023-10-02 13:15:42,30922,673,4234,15362,3841,658,2187,0,1866.630005
1296796, 2023-10-02 13:20:43,30930,667,4231,15362,3846,655,2188,0,1854.829956
1296797, 2023-10-02 13:25:48,30901,669,4229,15372,3840,640,2162,0,1863.439941
1296798, 2023-10-02 13:30:43,30948,663,4234,15415,3822,642,2157,0,1873.619995
1296799, 2023-10-02 13:35:40,30782,672,4236,15480,3744,651,2162,0,1562.329956
1296800, 2023-10-02 13:40:52,30876,694,4233,15557,3702,644,2158,0,1586.569946
1296801, 2023-10-02 13:46:08,30973,706,4235,15642,3697,632,2153,0,1581.73999
1296802, 2023-10-02 13:50:48,31059,703,4239,15662,3753,634,2146,0,1589.640015
1296803, 2023-10-02 13:55:41,31204,701,4240,15595,3797,634,2151,0,1597.859985
1296804, 2023-10-02 14:00:52,31254,699,4235,15539,3764,633,2153,0,1612.609985
1296805, 2023-10-02 14:06:59,31254,699,4235,15539,3764,633,2153,0,1378.339966
1296806, 2023-10-02 14:11:37,31254,699,4235,15539,3764,633,2153,0,1386.209961
1296807, 2023-10-02 14:15:49,31205,700,4239,15620,3708,642,2235,0,1406.670044
1296808, 2023-10-02 14:20:41,31171,696,4248,15602,3710,649,2273,0,1415.930054
1296809, 2023-10-02 14:25:39,31081,654,4247,15546,3701,650,2276,0,1421.699951
1296810, 2023-10-02 14:30:41,31113,631,4244,15552,3784,648,2261,0,1427.26001
1296811, 2023-10-02 14:35:45,31217,629,4248,15631,3797,649,2265,0,1248.160034
1296812, 2023-10-02 14:40:42,31397,630,4250,15786,3714,649,2256,0,1265.079956
1296813, 2023-10-02 14:45:42,31553,673,4249,15931,3654,650,2256,0,1270.650024
1296814, 2023-10-02 14:50:53,31735,733,4244,16075,3614,649,2269,0,1277.609985
1296815, 2023-10-02 14:55:50,31882,788,4236,16166,3604,649,2278,0,1287.640015
1296816, 2023-10-02 15:00:46,32030,825,4239,16308,3611,649,2277,0,1301.449951
1296817, 2023-10-02 15:05:43,32030,825,4239,16308,3611,649,2277,0,939.674988
1296818, 2023-10-02 15:11:09,32282,841,4239,16279,3717,796,2256,0,957.905029
1296819, 2023-10-02 15:15:41,32292,831,4245,16144,3753,798,2259,0,970.203979
1296820, 2023-10-02 15:20:46,32316,842,4250,16195,3693,799,2259,0,968.612
1296821, 2023-10-02 15:26:05,32449,869,4247,16304,3628,799,2272,0,980.335999
1296822, 2023-10-02 15:30:46,32604,911,4247,16412,3582,798,2274,0,979.348999
1296823, 2023-10-02 15:35:40,32685,941,4240,16363,3599,799,2285,0,747.81897
1296824, 2023-10-02 15:40:41,32804,955,4242,16354,3677,798,2280,0,769.234985
1296825, 2023-10-02 15:46:19,32946,954,4243,16324,3661,799,2276,0,772.033997
1296826, 2023-10-02 15:50:50,33222,958,4239,16387,3701,799,2274,0,771.554016
1296827, 2023-10-02 15:55:44,33442,954,4234,16487,3804,798,2304,0,787.255981
1296828, 2023-10-02 16:00:50,33570,955,4236,16620,3807,797,2303,0,784.77301
1296829, 2023-10-02 16:05:51,33538,959,4239,16629,3757,803,2301,0,521.049011
1296830, 2023-10-02 16:11:23,33765,962,4241,16768,3771,816,2300,0,527.213989
1296831, 2023-10-02 16:15:55,33915,961,4241,16790,3734,813,2290,0,531.528992
1296832, 2023-10-02 16:20:40,33895,958,4243,16813,3631,815,2307,0,536.195007
1296833, 2023-10-02 16:25:39,33907,959,4243,16889,3498,815,2339,0,531.580994
1296834, 2023-10-02 16:30:45,33951,960,4238,16934,3469,816,2359,0,531.002014
1296835, 2023-10-02 16:35:46,34091,957,4234,17003,3461,825,2354,0,255.410995
1296836, 2023-10-02 16:41:30,34263,961,4238,17146,3401,840,2351,0,264.221008
1296837, 2023-10-02 16:45:42,34368,954,4239,17251,3388,839,2350,0,265.824005
1296838, 2023-10-02 16:50:53,34351,956,4238,17248,3361,839,2345,0,266.653992
1296839, 2023-10-02 16:55:51,34455,953,4241,17294,3342,840,2349,0,264.113007
1296840, 2023-10-02 17:00:41,34479,954,4236,17298,3347,839,2348,0,264.080994
1296841, 2023-10-02 17:07:01,34479,954,4236,17298,3347,839,2348,0,85.119698
1296842, 2023-10-02 17:11:42,34082,956,4242,17388,3318,861,2329,0,92.909599
1296843, 2023-10-02 17:15:53,34103,959,4241,17213,3383,863,2341,0,96.331299
1296844, 2023-10-02 17:20:40,34229,960,4237,17073,3491,865,2336,0,97.163803
1296845, 2023-10-02 17:25:42,34227,959,4238,16936,3516,866,2335,0,97.371597
1296846, 2023-10-02 17:30:40,34158,957,4238,16844,3584,865,2333,0,97.144096
1296847, 2023-10-02 17:35:42,34062,958,4240,16770,3767,866,2333,0,11.6387
1296848, 2023-10-02 17:40:56,34148,954,4232,16763,3718,887,2344,0,11.8356
1296849, 2023-10-02 17:45:53,34173,928,4230,16780,3676,886,2342,0,12.3854
1296850, 2023-10-02 17:51:11,34237,863,4230,16791,3804,885,2332,0,12.575
1296851, 2023-10-02 17:55:44,34262,765,4233,16785,3897,886,2351,0,12.5316
1296852, 2023-10-02 18:00:59,34411,672,4233,16814,4044,886,2360,0,12.5156
1296853, 2023-10-02 18:05:41,34070,616,4228,16724,3947,881,2360,0,0.039565
1296854, 2023-10-02 18:11:47,34070,616,4228,16724,3947,881,2360,0,0.046648
1296855, 2023-10-02 18:15:41,34986,597,4229,16546,4029,866,2360,0,0.046057
1296856, 2023-10-02 18:21:39,34807,599,4228,16515,4022,866,2358,0,0.050054
1296857, 2023-10-02 18:25:51,34699,603,4231,16531,3964,866,2362,0,0.049998
1296858, 2023-10-02 18:31:19,34674,624,4231,16467,3950,867,2372,0,0.049621
1296859, 2023-10-02 18:35:40,34673,652,4231,16539,3917,866,2377,0,0
1296860, 2023-10-02 18:41:28,34657,685,4229,16784,3853,860,2375,0,0
1296861, 2023-10-02 18:46:48,34697,709,4227,16937,3814,857,2375,0,0
1296862, 2023-10-02 18:50:47,34504,709,4226,16835,3876,856,2368,0,0
1296863, 2023-10-02 18:56:27,34151,703,4229,16670,4078,855,2360,0,0
1296864, 2023-10-02 19:01:27,33916,707,4234,16463,4211,857,2362,0,0
1296865, 2023-10-02 19:07:36,33916,707,4234,16463,4211,857,2362,0,0
1296866, 2023-10-02 19:11:42,33150,803,4231,16418,4616,847,2373,0,0
1296867, 2023-10-02 19:16:33,33150,803,4231,16418,4616,847,2373,0,0
1296868, 2023-10-02 19:20:42,32623,822,4227,16264,4838,840,2357,0,0
1296869, 2023-10-02 19:26:07,32296,749,4225,15933,4977,841,2366,0,0
1296870, 2023-10-02 19:31:58,32133,685,4221,15670,4956,841,2374,0,0
1296871, 2023-10-02 19:35:43,32147,608,4218,15544,5030,841,2378,0,0
1296872, 2023-10-02 19:42:00,31965,598,4217,15492,5124,835,2379,0,0
1296873, 2023-10-02 19:45:46,31792,596,4216,15443,5216,829,2372,0,0
1296874, 2023-10-02 19:50:45,31792,596,4216,15443,5216,829,2372,0,0
1296875, 2023-10-02 19:56:52,31792,596,4216,15443,5216,829,2372,0,0
1296876, 2023-10-02 20:00:59,31139,584,4222,14815,5453,829,2376,0,0
1296877, 2023-10-02 20:06:56,31139,584,4222,14815,5453,829,2376,0,0
1296878, 2023-10-02 20:12:18,31153,646,4224,15545,5883,823,2370,0,0
1296879, 2023-10-02 20:16:49,31313,674,4222,15676,5657,820,2378,0,0
1296880, 2023-10-02 20:21:48,31313,674,4222,15676,5657,820,2378,0,0
1296881, 2023-10-02 20:25:40,31017,670,4221,15589,5614,794,2375,0,0
1296882, 2023-10-02 20:30:45,30828,631,4222,15462,5708,793,2372,0,0
1296883, 2023-10-02 20:36:41,30828,631,4222,15462,5708,793,2372,0,0
1296884, 2023-10-02 20:42:33,30828,631,4222,15462,5708,793,2372,0,0
1296885, 2023-10-02 20:45:42,30163,395,4228,15010,5898,644,2365,0,0
1296886, 2023-10-02 20:50:49,29991,345,4223,14600,6176,673,2358,0,0
1296887, 2023-10-02 20:55:47,29723,296,4227,14279,6301,645,2363,0,0
1296888, 2023-10-02 21:01:35,29723,296,4227,14279,6301,645,2363,0,0
1296889, 2023-10-02 21:05:55,29723,296,4227,14279,6301,645,2363,0,0
1296890, 2023-10-02 21:11:47,28819,0,4223,13676,5941,623,2373,0,0
1296891, 2023-10-02 21:16:34,28819,0,4223,13676,5941,623,2373,0,0
1296892, 2023-10-02 21:21:46,28819,0,4223,13676,5941,623,2373,0,0
1296893, 2023-10-02 21:26:37,28819,0,4223,13676,5941,623,2373,0,0
1296894, 2023-10-02 21:31:11,28028,0,4233,13097,6083,624,2292,0,0
1296895, 2023-10-02 21:36:36,28028,0,4233,13097,6083,624,2292,0,0
1296896, 2023-10-02 21:41:10,27600,0,4231,12571,6399,622,2140,0,0
1296897, 2023-10-02 21:46:38,27600,0,4231,12571,6399,622,2140,0,0
1296898, 2023-10-02 21:51:17,26637,0,4226,10915,7045,626,2036,0,0
1296899, 2023-10-02 21:55:49,26637,0,4226,10915,7045,626,2036,0,0
1296900, 2023-10-02 22:02:34,26637,0,4226,10915,7045,626,2036,0,0
1296901, 2023-10-02 22:06:49,26637,0,4226,10915,7045,626,2036,0,0
1296902, 2023-10-02 22:11:39,26637,0,4226,10915,7045,626,2036,0,0
1296903, 2023-10-02 22:17:07,26637,0,4226,10915,7045,626,2036,0,0
1296904, 2023-10-02 22:21:48,26637,0,4226,10915,7045,626,2036,0,0
1296905, 2023-10-02 22:26:46,26637,0,4226,10915,7045,626,2036,0,0
1296906, 2023-10-02 22:31:50,26637,0,4226,10915,7045,626,2036,0,0
1296907, 2023-10-02 22:36:36,26637,0,4226,10915,7045,626,2036,0,0
1296908, 2023-10-02 22:42:03,26637,0,4226,10915,7045,626,2036,0,0
1296909, 2023-10-02 22:45:52,23102,0,4232,4838,8516,620,1045,0,0
1296910, 2023-10-02 22:51:30,23045,0,4237,4764,8529,620,1045,0,0
1296911, 2023-10-02 22:56:59,23045,0,4237,4764,8529,620,1045,0,0
1296912, 2023-10-02 23:02:44,23045,0,4237,4764,8529,620,1045,0,0
1296913, 2023-10-02 23:06:53,23045,0,4237,4764,8529,620,1045,0,0
1296914, 2023-10-02 23:12:25,23045,0,4237,4764,8529,620,1045,0,0
1296915, 2023-10-02 23:16:59,22324,0,4238,4186,8047,606,1046,0,0
1296916, 2023-10-02 23:21:11,22324,0,4238,4186,8047,606,1046,0,0
1296917, 2023-10-02 23:27:12,22324,0,4238,4186,8047,606,1046,0,0
1296918, 2023-10-02 23:31:44,22324,0,4238,4186,8047,606,1046,0,0
1296919, 2023-10-02 23:36:40,22324,0,4238,4186,8047,606,1046,0,0
1296920, 2023-10-02 23:40:43,21851,0,4238,4011,7718,631,1033,0,0
1296921, 2023-10-02 23:46:46,21851,0,4238,4011,7718,631,1033,0,0
1296922, 2023-10-02 23:50:48,21850,0,4235,3906,7871,631,1026,0,0
1296923, 2023-10-02 23:55:41,21906,0,4237,3876,7954,631,1028,0,0
